Metric,Value
Total Customers,7043.0
Active Customers,5174.0
Churned Customers,1869.0
Churn Rate,0.2653698707936959
Retention Rate,0.7346301292063041
Average Monthly Charges,64.76169246059918
Monthly Revenue Lost Due to Churn,139130.85
